text_akhir,polarity_score,polarity
gameplay bagus valkryie memiliki mekanisme unikevent menarik ditambahkanya story memperdalam karakternamun update yg menerus stuck reinstall menerus harapan perbaiki kedepannyaterima kasih,-1,negative
seandainya game sebelah udh rilis versi global nyamungkin player pindah hatinya kesana alasannya logging game gampang buangbuang character moe moe cerita ngebosenin segi gameplay bagus kekurangan logging game update memperbarui pengaturan lemot buangbuang gagal melulu,-20,negative
game bagus bikin game berkurang bagusnya penggunaan energi stage digame regenerasi energi butuh bertambah reward stage rendah kebutuhan beli attachment upgrade karakter gacha karakter membutuhkan bahan loading game blind akun blind koneksi g,-7,negative
gamenya bagusssdan segi grafik pemandangan bagus malam main minlagi musuh pembatasnya tiba² pembatasnya masuk menyerang musuhnya mengulanginya terimakasih semoga cepat diperbaiki,-10,negative
overall udah bagus gk tau kadang game sebentar gamenya tombol serangdashdan analognya gk interaksi bug grafik gameplay memuaskan bangett semangat developer,-1,negative
grafik bagus memukau skill serangan battlesuit berbeda mengesankan event hadir terkadang game mengasikkan event starlit astrologos menangis ceritanya sad ngena banget owh iy bug terkadang serangan ultimate hov game mengalami force crash tolong diperbaiki bermain cooppve terima kasih,-2,negative
kelebihan game yg bagus grafik memanjakan mata gameplay yg mudah story yg memuaskan desain character² yg bagus cantik kekurangan menyelesaikan story²nya ekspedisi² ekstra stage kanchou bosan bingung game semoga kedepannya mihoyo stage² tambahan yg semoga kedepannya hi adaptasi anime story yg menariktrmks,8,positive
maen sy putuskan u memainkan wow bnyk event bnyk hadiah karakter interfaces yg lbh bagus ny sdh bgt pelit sprt bgt knp jd lbh berat patah duel dgn enemy tdk bgt smooth lg memainkannya sprt mengumpulkan fragment hero ny susah permudah,-7,negative
gameplay seru cerita gameplay grafik memuaskan tolong crashforce close fix karna hp midhigh force close ram penuh tolong fix kapten ai,-4,negative
bagus bug chapter ultimate seele tombol skill pause analog menghilang tolong fix overall game bagus segi story gameplay ramah fp,-6,negative
mainin game bosen karna jalan cerita cerita bagus grafiknya udah bagus banget udah melampaui batas grafik game mobile controler sempurna manga udah epic banget sampe gameplay ngeluh game force close stuck loading screen hp ganti alias kentang game khusus ram gb keatas main lancar awsome,-11,negative
grafik alur cerita karakter event gift gameplay control game bagus permasalahan bahasanya scene cg yg diterjemahkan bahasa indonesia bad tingkatkan mihoyo ditunggu launching genshin impact,-12,negative
butuh perbaikan bug contohnya open world terkadang terjatuh dasar open world masuk bug shadow kulit muka valkrye tibatiba berubah warna kulit hitamcokelat perbaiki menaikan menurunkan grafik menyalakan anti aliasing keliatan beda warna kulitnya mohon tolong diperbaiki bugbug didalam game bug ketidaknyamanan gameplay pemain gg,-20,negative
grafik grafik honkai udah tergolong bagus banget game android doang settingan tertinggi nampah peforma banget desain desain udah bagus detail memanjakan mata hobi gepeng story story udah bagus mewek kali ngeliat cg story tantangan tantangan disesuaikan kemampuan khawatir kalo kesusahan,-4,negative
overall bagus segi story background character gameplay visual character ui grafis event bosan kedepannya tolong update update januari kemarin download gb,-5,negative
overall gamenya bagus tingkatkan salah satunya total ukuran gamenya ukuran hd aset hp kentang perkecil sizenya mengorbankan aset aset litenya mengurangi performa game terimakasih,1,positive
kasih bintang bug menyelesaikan stage contoh main story dimana salah stagenya musuh boneka nyawa monster terbatas alhasil mengulangi stage contoh elysia realm terkadang musuh terspawn stage diselesaikan bug temukan karakter tersangkut mengganti karakter,-8,negative
gameplay grafiknya bagus yg mwnjadi proses memperbarui pengaturanupdate data event loadingnya mencapai diulang trus loading selesai masuk game direstart instal ulang tolong perbaiki plis,-6,negative
segi gameplay bagus grafik oke cuman ngasih saran aja file voice valkyrie alangkah baiknya dibikinkan valkyrie digabungkan memakan penyimpanan kapten yg device mumpuni memilih mendownload file voice valkyrie yg memakan penyimpanan terimakasih,-3,negative
bagus suka gamenya animasinya lumayan bagus seimbang spesifikasi mobilenya pengalaman bermain serasa disitu suka gamenya gk subtitle bahasa indonesia dri memahami alurisi cerita tsbsaya harap developer rilis subtitle bahasa indonesia nyahanya harapan pemain hi diwilayah asia indonesia developer mohon responnya terima kasih,1,positive
segi gameplay bagus grafik bagus bug login stuck logo mohon perbaiki story lumayan mohon tambahkan stage tambahan kayak mode hard hard memudah player betah bermain jujur aja betah main story tambahan exp bonus wajar minimal tambahkan exp memakai exp boost butuh energi lvl,-4,negative
udah selesai update peforma nambah bug bug parah muka karakter karakter muncul game serangan musuh tidal download ˋ ˊ,-14,negative
ukuran yg pribadi grafik jempolan story mantap gameplay yg menarik update membuka event menggiurkan kelemahannya update data aja,7,positive
game rpg epic mainkan mengesankan alur cerita mengesankan item menyelesaikan misi mudah menemukan bug dimana musuh kalahkan type psy mecha sulit kalahkan type bio musuh kebal serangan hp bar kosong pu musuh mati tolong fix sumpah seru banget,-13,negative
gamenya bagus masi bug berharap semoga fix dialog percakapan stage story masi typo spasi penulisan nama karakter salahtypo contohnya seele seule jujur dibilang puas mohon hal² typo dll diperbaiki thx,-1,negative
bug menyebab crush crash freez misimisi event story rasakan game play event story lag parah jaringan ram hp mendukung bagus contoh event story open world chapter yg dirilis yg tolong developer mihoyo mengatasi masalahmemperbaiki bug game disukai kalangan gamer trimakasih,-6,negative
udah bagus khusus chipset snapdragon grafis dipertajam pakai mode layar horizontal rekam layar kemudahan tambahan even pengumpulan crystal pemain bosan main aksesoris dilepas dipasang contohnya pubg menarik sekian terimakasih,10,positive
suka gameplay kompetitif bug ngganggu kayak musuh map susah lawannya sistem gacha menurutku game rame kayak saranku kecilin size penyimpanan game,-10,negative
aichanmihoyo coba login susah banget masuk sekalinya masuk tulisan data game diperbaharui silahkan ulangi game berkalikali gua login garagara bug aneh pake wifi jaringan bedanya tolong diperbaiki gua main game susah banget,-9,negative
pengalaman open world story buruk permainan force closed stutter tibatiba crash mencoba mode lancar grafik high lancar story open world harap perhatian tim pengembang diperbaiki,-12,negative
suka game uda grafis bagus gameplay seru bangetterutama story bagus banget nunggu lgi chapter yg dipercepat chapter sabar lihat kelanjutannya,10,positive
game berat gw yg g force close overall gamenya bagus kontrol pas battle susah jalannya bikin pusing kalo ngehindari serangan kena damage kalo skill senjata digabung skill menghindar mayan storynya kerasa banget feel kadang ngelag jaringan bagus memori kalo update kegedean wajar aja game sebagus ok selebihnya tolong dikembangkan,-7,negative
segi gameplay grafik bagus terkadang bug lag hp 𝙠𝙚𝙣𝙩𝙖𝙣𝙠 sizenya sepadan grafik gameplay hpnya kuat mohon dipaksakan dipaksa gameplay lagging,-8,negative
hai game bagus grafik efek pertempurannya mantap saran gacha dapatkan stigmata rate dapatkan hadiah tertera gacha x hadiah utamanya ampas mohon diperbaiki habis diamond gacha itemnya,16,positive
story tutorial grafik udah bagus banget data gb keatas worth dicoba dimainkan nyesel nunggu download data segitu bagusnya grafik dll story best mihoyo sedihnya kerasa anw thx udah bikin game,-15,negative
game bagus suka map lancar open world map stage chapter ex lancar banding map stage penurunan fps elysian realm menggangu jade knight gameplaynya spam attack memuaskan finishing sword array mode menekan tombol tombol menahan tombol tolong diperbaiki,-13,negative
game bagus pas nge download tuh banget nge dowload tuh smpe kali bug bagus gamenya grafik tuh bug kadang suka lag gitu,7,positive
menyukai game sayangkan sistem open world stabil rendering berat fps menurun koneksi bermasalah bermain mode coop nomor karakter muncul jeda singkat karakter event berbayarbelanja,-9,negative
sebenernya bagus dri segi jalan cerita karakter dll suka aja story ribet gk kayak story jalan dikit bunuh musuh kelar interaksi b c lawan musuh interaksi e f kelar enjoy main er dri jalanin story,-19,negative
segi story gameplay grafis waifu backsound event animasi gaada kaleng salut developer team udh bikin pake niat beneran niat sistem jg udh optimal main dpt bug versi gk good job mihoyo star hi fully recommended,-1,negative
gamenya bagus gameplay ok sayang lag parah mode open world kalo mode parah lag tolong diperbaiki main game separah lag didownload event kalo ditotalin kadang ampe mb event instal ulang tolonglah kalo event size gede orang wifi aja keluhan,-6,negative
gameplay seru recomended banget yg cari game hack n slash android pay win skill bakat nabung dibutuhkan variasi misi yg seru menantang kekurangan bug battle hov chronicles impian gemina hov arena pasca honkai nge lag mengganggu dimainkan dibattle lag mohon diperbaiki lag patah game,-7,negative
game emang pc yah ane pake pc lancar jaya log update phone ane stuck mehubungkan kedalam jaringan update jaringan wifi mbps tolong diperbaiki kesusahan log pengguna hp android terima kasih,6,positive
segi gameplay grafis alur cerita bagus jaringan sinyal bagus bermain mode coop jaringannya buruk update event telat tolong diperbaiki pengalaman bermain lancar,-20,negative
mohon devoloper tambahkan setingan grafik lancar hp low end si game keren segi efek karakter voice cg story intinya keren abis kasi,-1,negative
pendapat game g kalah bagus saudara ny game pindahan game mihoyo yg sebelah g event misi story gameplay ny mantapcombat ny epik ramai hp berjalan lancar pake setting kanan fps drop hp panasdikala game sebelah krn maklum game beratd hadiah g pelit sistem gacha g mengecewakan semoga berkembang kedepannya,-13,negative
gameplay gampang grafik ok btw game emang butuh penyimpanan yg gb grafik effect skill cutscenes map menyesuaikan spesifikasi hp overall bagus rilis sampe nggak,4,positive
pembaruan force pas enakenaknya main kawan eh tibatiba udah main berbulanbulan temukan pas pembaruan tolong fix ntar kasih bintang edit ok kasih bintang karna hilang permanen terkadang force close tp berkurand bermain,24,positive
perbarui data mulu asik main story log kn males main udh ngumpulin berlian story yg cepat event dunia elsya bug terkadang lompat jatuh permukaan kadang npc jalan kn cape bolak lobby,-3,negative
game bagus kekurangan gacha susah karakter spin menghabiskan msalah jaringan optimalkan tolong permudah gacha karakter,-10,negative
gamenya bagus yg perhatianpengembangan errand dorm tolong rewards beragam membosankan bagus valkyrie touch affection affection point terulang app terupdate terima kasih,-6,negative
mihoyo dev keluhannya map open world honkai optimize frame drop lag parah permainan map kendala selebihnya rasakan keluhan terimakasih,-9,negative
semenjak pindah pc instal preinstalation pra unduh benarbenar update mengalami bug mengulang unduh data update kali error pas verifikasi disitu jalan jalan verifikasi muncul cant continue download sejenisnya internet lancar lancar aja merugikan ngehabisin data internet,-7,negative
kebanyakan aspek hi bagus tolong ganti format game open world ruang terpakai bolak misi ngebuat cerita nikmatin harap² kyk yg orientasi battle story open world kedengeran ngebosenin hi peralihan gk minat main genshin player mengalami kebingungan banyaknya open world map,-5,negative
kasih bintang gameplay bagus menarik suka alur ceritanya saran game honkai impact tolong memperbaharui peraturan mengalami pembaharui peraturan mohon diperbaiki kedepannya kenyaman berbaim tergangu,1,positive
pemain memainkan game suka tampilan grafiknya bumbu story update karakter karakter suka update mode open world keaslian game berkurang bikin lag san menguras memori harap update game kedepannya optimalkan mode stage nyaala ala honkai versi semoga saran dipertimbangkan terimakasih,11,positive
gameplay bagus voice character adain loading gamenya lamaserta subtitle bahasanya pas mohon perbaiki lagisubtitle bahasa indonesia subtitle game nyaman ratenya kasih bintang,4,positive
menyukai honkai impact didalam character senjata bervariasi lupa story menumpuk diselesaikan hadiah berlimpah bug perbaiki semoga bugbug diselesaikan pemain nyaman,1,positive
suka style gameplaynya susah mengubah sudut pandang battle kadang fpsnya drop parah battle overall menyukainya semangat hoyoverse mendukungmu,-2,negative
berterima kasih game honkai impact lumayan puas gamenya keluhkan story ekspedisi open world chronicle selesai bosan game buatlah game honkai impact habis bikin bosan sistem mereset story ekspedisi open world biar pemain memainkan sistem hard normal story,-14,negative
dah main days seru gamenya satunya game yg buatku betah plis mihoyo update setting login pagi update trus malamnya update setting pdhl main hrus nunggu update ngulang gegara jaringan mohon fix dibikin sistem update kyk gi min,-10,negative
gamenya bagus gameplaynya bagus storynya mantab mengecewakan kadang lag memainkannya penggunaan energy boros menjalankan misi story open world expedisi menghemat crystal energy langsung membelinya crystal komplain berharap game,-5,negative
game bosenin honkai impact perubahan gue suka gameplay yg rilisnya pasca honkai setelahnya kesannya update datanya maksa menyamai genshin impact gameplay kacau tampilan menunya buruk suka yg,1,positive
game rekomendasikan wibu anime lovers yg mencari waifu grafisnya hd karakternya perempuannya imut cantik kontrol yg gampang stage level yg event story yg menarik kelebihannya saranin hp ram penyimpanan yg mainin game coba main hp ram fps drop bgt gk mainin salah mode pasca honkai sekian btw suka raiden mei,-5,negative
mohon perbaiki lokasi bug pembatasnya tembus kali mengalami bug monster nyawanya g ngurang sebangian misi bug mosternya muncul g abis abis merestart game intuk misi tsb berjalan normal bug mohon perbaiki bintangnya,2,positive
grafis bagus gameplay seru suka game cerita karakternya kurangnya menunggu pulih energy penggunaan enegy story membutuhkan energy bagus ditunggu update thank,2,positive
masuknya banget koneksi udah lancar scene awalannya laggy susah pdahal overall udh bagus kayak grafik dll cuman masuk game aja harap diperbaiki,-7,negative
game grafik penjelasan cerita alat tukar itembahasa layanan bagus suka deh pokoknya kekuranganunduh data data cgkalau sesuaikan spek hppc pemakaiagar memakan biaya kuota server lagbug update perbaiki jaringanbug alat penukaran item convert keperluan perbanyak hadiah player aktif berkembang semoga game majuoke,-8,negative
gameplay dah bagus alur ceritanya cuman keseringan update udah gitu abis update suka gk login minus parah game tolong kekurangannya diperbaiki pemainnya pindah game sebelah,-15,negative
game terbaik mainin segi cerita karaktervalkyrie udah bagus banget mekanisme permainan jg menarik banget fitur crystal dlm seperi elysian realm tolong event hadiah crystal untk x gacha mohon mihoyohoyoverse bantuan oh abyss mohon dipermudah player garatisan kesusahan,-4,negative
good game suka game grafik mantap kontrol mudah mode coop sayangnya level menaikkan level pakai kartu chip aja hasilnya pokoknya udah mantap game,22,positive
game mantap grafis bagus ceritanya menarik event trus karakternya game memakan memori gpp disayangkan penggunaan energinya boros trus cooldown ngisi staminanya gua gacha ampas mulu dapetnya udah tolong tingkat keberuntungannya ditingkatin,-2,negative
game dwnloadnya masuk game dlod hasilnya memuskan grafiknya bagus game seru banget ditambah karakternya yg kawai efek karakternya kalo disentuh akui sia sia dnlod,-5,negative
